Type,Name,Address,Grade,District,AGA Division,PS/MC/UC,City,Tags,place_id
Tourist Shops,CEYLON SAPPHIRE COLLECTION,"NO. 149, COLOMBO ROAD, KALUWELLA, GALLE",Unrated,Galle,Galle,Galle Divisional Secretariat,Galle,tourist-shops,269
Travel Agents,CEYLON SHIPPING LINES LTD,"NO. 450, D.R. WIJEWARDANA MAWATHA, COLOMBO 10",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,270
Travel Agents,CEYLON SUNNY HOLIDAYS (PVT) LTD,"NO.487, FOUR WAY JUNCTION, NAGODA, KALUTARA SOUTH",Unrated,Kalutara,Kalutara Pradeshiya Sabha,Nagoda Divisional Secretariat,Kalutara South,tour-operator travel-agents,271
Restaurants,CEYLON TEA FACTORY RESTAURANT,"NO 05, WATHTHIRIYAWA WATTA, PASSARA ROAD, ELLA",A,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,Ella,cafe restaurant restaurants,272
Travel Agents,CEYLON TOURS LIMITED,"NO 8 A, SIR ERNEST DE SILVA MAWATHA ,COLOMBO-03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo-,tour-operator travel-agents,273
Travel Agents,CEYLON TRAVEL FACTORY PVT LTD,"NO 124,KANDY ROAD,MAHARA",Unrated,Gampaha,Gampaha,Gampaha Divisional Secretariat,Mahara,tour-operator travel-agents,274
Travel Agents,CEYLON'S BEST TOURS (PVT) LTD,"MIHIRIPENNA, WARAPITIYA, DHARGA TOWN",Unrated,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,Dharga Town,tour-operator travel-agents,275
Travel Agents,CEYTRANS (PVT) LTD,"NO.200, SAMANTHARA PARA, MOLLIGODAWATTE, WADDUWA",Unrated,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,Wadduwa,tour-operator travel-agents,276
Travel Agents,CHAALIYA TOURS (PRIVATE ) LIMITED,"NO:545/1,NUNGAMUGODA,KELANIYA",Unrated,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,Kelaniya,tour-operator travel-agents,277
Restaurants,CHANNA RESTURANT,"B 7 ,KANDY ROAD,MEEPITIYA,KEGALLE",A,Kegalle,Kegalle,Kegalle Divisional Secretariat,Kegalle,restaurants,278
Restaurants,CHANVAL RESTAURANT (MAHARAGAMA),"NO. 5/2 5/3 SRI DEWANANDA ROAD,NAWINNA,MAHARAGAMA.",A,Colombo,Maharagama,Maharagama Divisional Secretariat,Maharagama.,restaurant restaurants,279
Restaurants,CHANVEL RESTAURANT (BATTARAMULLA),"NO. 181/1, MAIN STREET, BATTARAMULLA",A,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,Battaramulla,restaurant restaurants,280
Restaurants,CHAPTER ONE,"931C,KOTTE ROAD,KOTTE",A,Colombo,Kotte Muncipal Council,Sri jayawadanapura,Kotte,restaurants,281
Travel Agents,CHELCEY TRAVELS (PVT) LTD,"NO.35, DEVAL ROAD, NUGEGODA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Nugegoda,tour-operator travel-agents,282
Restaurants,CHESA SWISS RESTAURENT,"NO.03, DEAL PLACE A , COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurants,283
Travel Agents,CHINA MANOR BUSINESS TRAVEL RECEPTION (PVT) LTD,"CINE CITY, NO 301A, MARADANA ROAD, COLOMBO 10",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,284
Restaurants,CHINESE DELIGHT RESTAURANT,"41-A,RIDGEWAY PLACE, MARINE DRIVE,COLOMBO 04",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,asian-cuisine restaurant restaurants,285
Restaurants,CHOPSTICKS RESTAURANT,"NO.317/1, NAWALA RD, NAWALA",A,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,Nawala,restaurant restaurants,286
Travel Agents,CHORLA COMBINES,"NO. 68/7, CO-OPERATIVE BUILDING, HATTON",Unrated,Nuwara Eliya,Nuwara Eliya,Ambagamuwa Divisional Secretariat,Hatton,tour-operator travel-agents,287
Travel Agents,CITRUS VACATIONS LTD,"NO.7/5, GREGORY'S, ROAD, COLOMBO 07",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,288
Tourist Shops,CITY OF GEM MUSEUM,"NO. 17 B, GALLE ROAD, MOLLIGODA, WADDUWA",Unrated,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,Wadduwa,shopping tourist-shops,289
Restaurants,CITY RESTAURANT,"MANATKUDIYIRUPPU,MULLAITIVU",B,Mullaitivu,Mulatiyana Pradeshiya Sabha,Mulatiyana Divisional Secretariat,Mullaitivu,restaurant restaurants,290
Travel Agents,CITY TOURS,"476, KANDY ROAD, DALUGAMA",Unrated,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,Dalugama,tour-operator travel-agents,291
Travel Agents,CL SYNERGY TRAVELS (PVT) LTD,"NO.464 2/1, GALLE ROAD,COLOMBO-03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo-,tour-operator travel-agents,292
Travel Agents,CLASSIC LANKA TRAVELS,"NO.95/2/1, LUWIS WIJERATHNA PLACE, KANDY ROAD, IMBULGODA",Unrated,Gampaha,Gampaha,Gampaha Divisional Secretariat,Imbulgoda,tour-operator travel-agents,293
Travel Agents,CLASSIC TRAVEL (PVT) LTD,"NO.379/4, GALLE ROAD, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,294
Travel Agents,CLASSIC VACATIONS PVT LTD,"NO. 293, GALLE ROAD, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,295
Restaurants,CLEMENTS,"NO.21,STATION ROAD,WATTALA.",A,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,Wattala.,restaurants,296
Restaurants,CLEOPATRA RESTAURANT,"NO. 250 B1, R.A.DE MEL MAWATHA, COLOMBO 03",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo,restaurant restaurants,297
Travel Agents,CLIMAX LANKA TRAVELS AND TOURS (PVT) LTD,"NO.65/25A,SWARNADISI PLACE,KOSWATTE ROAD,NAWALA,RAJAGIRIYA.",Unrated,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,Rajagiriya.,tour-operator travel-agents,298
Restaurants,CLIQUE RESTAURANT,"505,UNION PLACE,COLOMBO 02",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurant restaurants,299
Restaurants,CLOVER GRANGE,"NO. 95, KING STREET, MATALE 21000",A,Matale,Matale,Matale Divisional Secretariat,Matale,restaurants,300
Travel Agents,CLOVER LANKA TRAVEL (PVT) LTD,"NO.1586/1/1,KOTTE ROAD,RAJAGIRIYA.",Unrated,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,Rajagiriya.,tour-operator travel-agents,301
Restaurants,CLUB CONCEPT RESTAURANT,"RANDENIYA, HIRIWADUNNA, KEGALLE",A,Kegalle,Kegalle,Kegalle Divisional Secretariat,Kegalle,restaurant restaurants,302
Restaurants,CO-OPERTIVE RESTAURANT,"130,GALLE ROAD, HIKKADUWA",B,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,Hikkaduwa,restaurant restaurants,303
Restaurants,COCKPIT COLOMBO,"NO 7, 07A, 07/1B, FIFE ROAD, COLOMBO 04",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurants,304
Spa & Wellness Centers,COCO SPA - CLUB BENTOTA,"CLUB BENTOTA, ALUTHGAMA",Unrated,Kalutara,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,Aluthgama,beach spa-and-wellness-centers wellness,305
Spa & Wellness Centers,COCO SPA - HERITANCE AHUNGALLE,"HERITANCE AHUNGALLE, AHUNGALLE",Unrated,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,Ahungalle,spa-and-wellness-centers wellness,306
Spa & Wellness Centers,COCO SPA - HERITANCE TEA FACTORY,"KANDAPOLA, NUWARAELIYA",Unrated,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,Nuwaraeliya,cafe spa-and-wellness-centers wellness,307
Spa & Wellness Centers,COCO SPA - MT. LAVINIA HOTEL,"100, HOTEL ROAD, MT. LAVINIA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Mt. Lavinia,spa-and-wellness-centers stay wellness,308
Spa & Wellness Centers,COCO SPA - ULAGALLA WALAWWA,"THIRAPPANE, ANURADHAPURA",Unrated,Anuradhapura,Anuradhapura,Anuradhapura East,Anuradhapura,spa-and-wellness-centers wellness,309
Spa & Wellness Centers,COCO SPA-ANANTAYA PASSIKUDAH,"COCONUT BOARD ROAD,KALKUDAH,PASSIKUDAH",Unrated,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,Passikudah,spa-and-wellness-centers wellness,310
Spa & Wellness Centers,COCO SPA-GRAND KANDYAN,"NO:89/10,LADY GORDOW DRIVE,KANDY",Unrated,Kandy,Kandy,Kandy Divisional Secretariat,Kandy,spa-and-wellness-centers wellness,311
Spa & Wellness Centers,COCO SPA-THURYAA RESORT,"WASKADUWA,KALUTARA",Unrated,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,Kalutara,spa-and-wellness-centers stay wellness,312
Spa & Wellness Centers,COCOSPA (PVT) LTD - CITRUS ( WASKADUWA ),"NO.427. SAMANTHARA ROAD, WASKADUWA, KALUTHRA",Unrated,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,Kaluthra,spa-and-wellness-centers wellness,313
Spa & Wellness Centers,COCOSPA PVT LTD-HERITANCE KANDALAMA,"COCOSPA-HERITANCE KANDALAMA,P.O.BOX 11,DAMBULLA",Unrated,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,Dambulla,spa-and-wellness-centers wellness,314
Spa & Wellness Centers,COLOMBO COURTYARD(AMBER SPA),"32,ALFRED HOUSE AVE,COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,spa-and-wellness-centers wellness,315
Travel Agents,COLORS AND ESSENCE OF LANKA (PVT) LTD,"NO 106, 2ND FLOOR,BERNARD BUSINESS PARK, DEHIWALA",Unrated,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,Dehiwala,tour-operator travel-agents,316
Travel Agents,COLUMBUS TOURS (PVT)LTD,"221/2, DHARMAPALA M.W., COLOMBO 07",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,317
Travel Agents,COMFORT TRAVELS & TOURS (PVT) LTD,"NO. 159C, PANNIPITIYA ROAD, THALAWATHUGODA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Thalawathugoda,tour-operator travel-agents,318
Travel Agents,CONCORD EXOTIC VOYAGES LANKA (PVT)LTD,"74,A1/1,PARK STREET, COLOMBO 02",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,319
Travel Agents,CONNAISSANCE DE CEYLAN (PVT) LTD,"NO. 130, HIGH LEVEL ROAD, COLOMBO 06",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,320
Travel Agents,CONSTANT HOLIDAYS (PVT)LTD,"246,PARK ROAD,COLOMBO 05",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,321
Travel Agents,CONTINENTS & OCEANS (PVT) LTD,"NO. 1A, UNITY PLACE, COLOMBO 3",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,322
Travel Agents,COOL SRI LANKA TOURS & TRAVELS,"NO:1054/2 KUMARAGEWATTA,PANNIPITIYA ROAD,BATTARAMULLA",Unrated,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,Battaramulla,tour-operator travel-agents,323
Restaurants,COUNTRY CLUB RESTAURANT,"NO 08, BANDARANAYAKE MW, KATUBEDDA, MORATUWA",B,Colombo,Moratuwa,Moratuwa Divisional Secretariat,Moratuwa,restaurant restaurants,324
Travel Agents,COUNTRY FEELING HOLIDAYS (PVT) LTD,"NO.58A, CAHRLES PLACE, RAWATHAWATTE, MORATUWA",Unrated,Colombo,Moratuwa,Moratuwa Divisional Secretariat,Moratuwa,tour-operator travel-agents,325
Travel Agents,COUNTRY VACATIONS INTERNATIONAL LIMITED,"THE LANDMARK BULDING,NO 385,LEVEL 2,GALLE ROAD,KOLPETTY,COLOMBO 3",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,326
Travel Agents,CREATIVE TRAVEL SOLUTIONS (PVT) LTD,"NO. 34 A, SHRUBBERY GARDENS, COLOMBO 04",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,327
Travel Agents,CREATIVETRAVELS . ASIA (PVT) LTD,"PUTTUR ROAD, VEMBIRAI, MEESALAI",Unrated,Jaffna,Chavakachcheri,Jaffna Divisional Secretariat,Meesalai,tour-operator travel-agents,328
Restaurants,CRICKET CLUB CAFE,"NO.12,ERNEST DE SILVE,MAWATHA.COLOMBO 07.",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Mawatha.Colombo 07.,cafe restaurants,329
Restaurants,CRISTAL HILL RESTAURANT,"NO.231,DAMBULLA ROAD,KIRIGALPOTHTHA,PALAPATHWALA,MATALE.",A,Matale,Matale,Matale Divisional Secretariat,Matale.,restaurant restaurants,330
Travel Agents,CROWN GLOBAL SERVICES (PVT) LTD,"28/4C, R.A.DE MEL MAWATHA, COLOMBO 04",Unrated,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo,tour-operator travel-agents,331
Travel Agents,CRUSADER SPORTS & LEISURE TOURS (PVT) LTD,"NO:136/5,KALALGODA,PANNIPITIYA",Unrated,Colombo,Maharagama,Maharagama Divisional Secretariat,Pannipitiya,tour-operator travel-agents,332
Travel Agents,CRYSTAL HOLIDAYS (PVT)LTD,"25 A, DE SARAM ROAD ,OFF COLLEGE AVENUE ,MOUNT LAVINIA",Unrated,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,Mount Lavinia,tour-operator travel-agents,333
Restaurants,CUBBYS RESTAURANT,"CUBBYS RESTAURANT,85,WARAGODA ROAD,KELANIYA",A,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,Kelaniya,restaurant restaurants,334
Restaurants,CURRY LEAVES RESTAURANT,"NO.68.W.A.SILVA MW,COLOMBO 06",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurant restaurants,335
Travel Agents,D.HOLIDAYS (PVT) LTD,"NO.560,03RD FLOOR, GALLE ROAD, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,336
Restaurants,D.S.C. RESTAURANT,"NO. 206, HIGH LEVEL ROAD, AVISSAWELLA",A,Colombo,Seethawaka Pradeshiya Sabha,Seethawaka Divisional Secretariat,Avissawella,restaurant restaurants,337
Restaurants,DAFFODIL HOTEL,"KOYIL KUDIYIRUPPU, MULLATIVU.",A,Mullaitivu,Maritimepattu Divisional Secretariat,Mullaitivu Divisional Secretariat,Mullativu.,restaurants stay,338
Restaurants,DAKSHINA RESTAURANT,"154/A, KANDY RD, DALUGAMA,KELANIYA",B,Gampaha,Peliyagoda,Mahara Kelaniya,Kelaniya,restaurant restaurants,339
Travel Agents,DANA TOURS & TRAVELS (PVT)LTD,"NO 74, SEA BEACH ROAD,COLOMBO 11",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,340
Travel Agents,DANATA (PVT) LTD,"37 1/1, W.A.D. RAMANAYAKE MAWATHA, COLOMBO 02",Unrated,Colombo,MC,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,341
Restaurants,DANIELS PUB & RESTAURANT,"NO.46, GALLE RD, AHUNGALLA",A,Galle,Galle,Galle Divisional Secretariat,Ahungalla,nightlife restaurant restaurants,342
Restaurants,DANSCO RESTAURANT,"NO. 20/5, GALLE ROAD, GOLUMADAMA JUNCTION, MORATUWA",A,Colombo,Moratuwa,Moratuwa Divisional Secretariat,Moratuwa,restaurant restaurants,343
Travel Agents,DAREEN HOLIDAYS (PVT) LTD,"NO:7-2/6.ORCHARD SHOPPING COMPLEX,GALLE ROAD,COLOMBO 05",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,344
Travel Agents,DAYA HOLIDAYS (PVT) LTD,"NO.445, COLOMBO ROAD, PEPILIYANA, BORALESGAMUWA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Boralesgamuwa,tour-operator travel-agents,345
Water Sports Centers,DE SILVA WIND RESORT KALPITIYA (PVT) LTD,"19A,KALUWAMODARA,ALUTHGAMA",Unrated,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,Aluthgama,stay water-sports-centers watersport,346
Travel Agents,DELAIR TRAVELS (PVT)LTD,"101,VINAYALANKARA MAWATHA COLOMBO 10",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Vinayalankara Mawatha Colombo,tour-operator travel-agents,347
Travel Agents,DELUX HOLIDAYS (PVT) LTD,"NO. 410/101B, BULLERS ROAD, COLOMBO 07",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,348
Travel Agents,DELUXE VACATIONS (PVT) LTD,"NO. 45/B, PAGODA ROAD, NUGEGODA",Unrated,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Nugegoda,tour-operator travel-agents,349
Travel Agents,DENGELO TOURING (PVT) LTD,"NO.77B, RAGAMA ROAD, KANDANA",Unrated,Gampaha,Gampaha,Gampaha Divisional Secretariat,Kandana,tour-operator travel-agents,350
Tourist Shops,DERICK GEMS AND JEWELLERY,"NO. 388,COLOMBO ROAD,DADALLA,GALLE",Unrated,Galle,Galle,Galle Divisional Secretariat,Galle,tourist-shops,351
Restaurants,DESHANI EASTERN & CHINESE RESTAURANT,"NO. 376, OLD ROAD, KOTTAWA, PANNIPITIYA",A,Colombo,Maharagama,Colombo Divisional Secretariat,Pannipitiya,asian-cuisine restaurant restaurants,352
Travel Agents,DESTINATION SERANDIB (PVT) LTD,"NO. 25C, RAMANADAN AVENUE, DEHIWALA",Unrated,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,Dehiwala,tour-operator travel-agents,353
Travel Agents,DESTINLANKA TRAVELS,"261/1, NAWALA ROAD, NAWALA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Nawala,tour-operator travel-agents,354
Travel Agents,DETOUR PVT LTD,"NO 170 C,COLOMBO ROAD,WELIGAMPITIYA,JA ELA",Unrated,Gampaha,Gampaha,Ja-Ela Divisional Secretariat,Ja Ela,tour-operator travel-agents,355
Travel Agents,DETROVES TRAVELS (PVT) LTD,"NO.31/1, RIDGEWAY PLACE, COLOMBO 04.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 04.,tour-operator travel-agents,356
Tourist Shops,DHANAJA GEM MUSEUM,"590, COLOMBO ROAD, NEW TOWN, RATHNAPURA",Unrated,Ratnapura,Ratnapura,Ratnapura Divisional Secretariat,Rathnapura,shopping tourist-shops,357
Tourist Shops,DIAMOND DREAMS,"NO. 27, JOSEPH LANE ,COLOMBO 04.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 04.,tourist-shops,358
Travel Agents,DIAMOND LEISURE (PRIVATE) LIMITED,"NO. 40, COLOMBO ROAD, NEGOMBO",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negombo,tour-operator travel-agents,359
Restaurants,DIAMOND REST,"NO. 315, COLOMBO ROAD, WERALUPA, RATNAPURA",A,Ratnapura,Ratnapura,Ratnapura Divisional Secretariat,Ratnapura,restaurants,360
Restaurants,DIANA CHINESE FOOD CENTRE,"NO. 23B1/1, 23B2/1 DENIYAYA ROAD, AKURESSA",A,Matara,Akuressa Pradeshiya Sabha,Akuressa Divisional Secretariat,Akuressa,asian-cuisine restaurant restaurants,361
Spice Gardens,DIANA SPICE GARDEN,"NO. 02, KIRIGALPOTHA, PALAPATHWELA",Unrated,Matale,Matale,Matale Divisional Secretariat,Palapathwela,garden spice-gardens,362
Travel Agents,DIETHELM TRAVEL LANKA (PVT) LTD,"LEVEL 06, HEMAS HOUSE, NO. 75, BRAYBROOKE PLACE, COLOMBO 02",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,363
Restaurants,DIMASHA RESTAURANT,"NO. 9-C, BANDDEGAMA ROAD, HIKKADUWA",A,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,Hikkaduwa,restaurant restaurants,364
Restaurants,DINE INN REATAURANT,"NO 47, W. A SILVA MAWATHA, COLOMBO 06",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurant restaurants stay,365
Restaurants,DINESH RESTAURANT,"HANHAMUNA, MASPOTHA, KURUNEGALA",A,Kurunegala,Wariyapola Pradeshiya Sabha,Wariyapola Divisional Secretariat,Kurunegala,restaurant restaurants,366
Water Sports Centers,DINUDA RESORT (PVT) LTD,"PUDUKUDURIPPU,SETHAWADI,KALPITIYA",Unrated,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,Kalpitiya,stay water-sports-centers watersport,367
Restaurants,DIO JEY RESTAURENT,"NO.145/1A, GIRIDARA, KAPUGODA",B,Gampaha,Dompe Pradeshiya Sabha,Dompe Divisional Secretariat,Kapugoda,restaurants,368
Travel Agents,DIRECT LINK (PVT)LTD,"NO.225/7,SRI SANGARAJA MAWATHA,COLOMBO 10",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,369
Restaurants,DISLIN ITALIAN RESTAURANT,"NO. 571, GALLE ROAD, RAWATHAWATTA, MORATUWA",A,Colombo,Moratuwa,Moratuwa Divisional Secretariat,Moratuwa,asian-cuisine restaurant restaurants,370
Travel Agents,DITO LANKA PVT LTD,"22/3,PEARL VILLA,NAGAS JUNCTION,GALLE ROAD,KALUTHARA NORTH",Unrated,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,Kaluthara North,tour-operator travel-agents,371
Water Sports Centers,DIVING AND SAILING CENTRE (PVT)LTD,"NO:331,KAPPARATHOTA ROAD,WELIGAMA",Unrated,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,Weligama,water-sports-centers watersport,372
Spa & Wellness Centers,DIVIYAN SPA - EARL'S REGENCY,"EARL'S REGENCY, KANDY",Unrated,Kandy,Kandy,Kandy Divisional Secretariat,Kandy,spa-and-wellness-centers wellness,373
Water Sports Centers,DIYAKAWA WATER SPORTS CENTRE,"NO 10,RIVER AVENUE,ALUTHGAMA",Unrated,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,Aluthgama,water-sports-centers watersport,374
Restaurants,DKN CAFE,"475/C,SRI JAYAWARDENAPURA MAWATHA,WELIKADA,RAJAGIRIYA.",A,Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura,Rajagiriya.,cafe restaurants,375
Restaurants,DOLCE VITA,"27,PORUTHOTA ROAD,ETHUKALA,NEGAMBO",B,Gampaha,Negombo,Negombo Divisional Secretariat,Negambo,restaurants,376
Travel Agents,DOMINANT LEISURE (PVT) LTD,"NO 372/D, NAWALA ROAD, RAJAGIRIYA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Rajagiriya,tour-operator travel-agents,377
Restaurants,DOMINANT RAJAGIRIYA,"RECEPTION HALL, WELIKADA, RAJAGIRIYA",A,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,Rajagiriya,restaurants,378
Travel Agents,DOUTCH MARK (PVT) LTD,"NO:475/A/1, COLOMBO ROAD, KADUWELA",Unrated,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,Kaduwela,tour-operator travel-agents,379
Travel Agents,DREAM CEYLON TRAVELS & LEISURE (PVT) LTD,"331/5, HUNUPITIYA, NEW ROAD, DALUGAMA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Dalugama,tour-operator travel-agents,380
Travel Agents,DREAM VACATIONS (PVT) LTD,"NO.288/12T,ROYAL GARDENS,RAJAGIRIYA.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Rajagiriya.,tour-operator travel-agents,381
Travel Agents,DUMEE INTERNATIONAL (PVT) LTD,"NO:3,BEUCANAN STREET,COLOMBO 4",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,382
Travel Agents,DUS LANKA TRAVELS (PVT) LTD,"NO.560, GALLE ROAD, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,383
Travel Agents,E TURISMO LANKA (PVT) LTD,"NO:177/D/1, AMBAGAHA JUNCTION,KOTHALAWALA,KADUWELA",Unrated,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,Kaduwela,tour-operator travel-agents,384
Restaurants,E.A.P.RESTAURANT,"NO:20,DR.N.M.PERERA MAWATHA,COLOMBO 08",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo,restaurant restaurants,385
Travel Agents,E.C.D. HOLIDAYS,"NO. 51/1, ST. ANTHONYS ROAD, OFF MENDIS AVENUE, KADALANA, MORATUWA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Moratuwa,tour-operator travel-agents,386
Restaurants,E.T.S. FOODS,"NO. 21, DE VOS AVENUE, COLOMBO 04",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo,restaurants,387
Tourist Shops,E.W.BALASURIYA & CO.,"7/2,SANGAMITTA MAWATHA,KANDY",Unrated,Kandy,Kandy,Kandy Divisional Secretariat,Kandy,tourist-shops,388
Travel Agents,EAST N WEST ON BOARD PVT LTD,"65, THIRUCHENTOOR BEACH ROAD, KALLADY, BATTICALOA",Unrated,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,Batticaloa,tour-operator travel-agents,389
Travel Agents,EAST WEST LEISURE (PVT) LTD.,"NO:12-01,EAST TOWER,WORLD TRADE CENTRE,COLOMBO 01",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,390
Travel Agents,EASTGATE TRAVELLER,"NO.189, MAIN STREET- ODDAMAWADI",Unrated,Batticaloa,Batticaloa,Koralai Pattu Divisional Secretariat,Main Street- Oddamawadi,tour-operator travel-agents,391
Travel Agents,EASY TRAVELS CENTRE (PVT) LTD,"NO 1 1/1 DEANSTONE HOUSE ,DEANSTONE PLACE,COLOMBO 3",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,392
Restaurants,EAT ME CHINESEE RESTAURANT,"162,PERADENIYA ROAD,KANDY",A,Kandy,Kandy,Ganga Ihala Korale Divisional Secretariat,Kandy,restaurant restaurants,393
Travel Agents,"EBERT SILVA TOURING CO.,(PVT) LTD.","NO:11,MALWATTA ROAD,DEHIWALA.",Unrated,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,Dehiwala.,tour-operator travel-agents,394
Travel Agents,ECO TEAM (PVT) LTD,"NO.20/63, FAIRFIELD GARDENS, COLOMBO 08",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,395
